コード,銘柄名,市場,現在値,前日比(%)
1301,極洋,東P,"4,575","-65.0 (-1.40%) "
1305,ｉＦＴＯＰＩＸ（年１回決算型）,東ETF,"4,003","+23.0 (+0.58%) "
1306,ＮＦ　ＴＯＰＩＸ連動型上場投信,東ETF,"395.9","+2.2 (+0.56%) "
1308,上場インデックスファンドＴＯＰ,東ETF,"3,915","+26.0 (+0.67%) "
1309,上海株指数・上証５０連動型上場,東ETF,"54,720","+220.0 (+0.40%) "
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ,東G,"463","-1.0 (-0.22%) "
1311,ＮＦ　ＴＯＰＩＸ　Ｃｏｒｅ３０,東ETF,"1,981","+17.0 (+0.87%) "
1319,ＮＦ日経３００株価指数連動型,東ETF,"--","-- (--%) "
131A,ＣＣＮグループ,東PRO,"--","-- (--%) "
1320,ｉＦ日経２２５（年１回決算型）,東ETF,"63,160","+960.0 (+1.54%) "
1321,ＮＦ日経２２５連動型上場投信,東ETF,"63,400","+1,010.0 (+1.62%) "
1322,中国Ａ株パンダＣＳＩ３００,東ETF,"11,815","-75.0 (-0.63%) "
1325,ＮＦボベスパ連動型上場投信,東ETF,"336","+0.5 (+0.15%) "
1326,ＳＰＤＲゴールド・シェア,東ETF,"68,970","+450.0 (+0.66%) "
1328,ＮＦ金価格連動型上場投資信託,東ETF,"17,775","+105.0 (+0.59%) "
1329,ｉＳコア　日経２２５,東ETF,"6,311","+100.0 (+1.61%) "
132A,アイエヌＨＬＤＧ,東PRO,"--","-- (--%) "
1330,上場インデックスファンド２２５,東ETF,"63,510","+990.0 (+1.58%) "
1332,ニッスイ,東P,"1,214","-15.0 (-1.22%) "
1333,Ｕｍｉｏｓ,東P,"1,321","-17.5 (-1.31%) "
133A,グローバルＸ　超短期米国債,東ETF,"1,079","-1.0 (-0.09%) "
1343,ＮＦ東証ＲＥＩＴ連動型投信,東ETF,"2,061","+2.5 (+0.12%) "
1345,上場Ｊリート隔月分配型,東ETF,"1,931","+1.0 (+0.05%) "
1346,ＭＡＸＩＳ　日経２２５上場投信,東ETF,"62,990","+950.0 (+1.53%) "
1348,ＭＡＸＩＳ　トピックス上場投信,東ETF,"3,906","+16.0 (+0.41%) "
1349,ＡＢＦ汎アジア債券,東ETF,"18,000","0.0 (0.00%) "
134A,アプライズ,東PRO,"--","-- (--%) "
1356,ＴＯＰＩＸベア２倍上場投信,東ETF,"131.7","-1.4 (-1.05%) "
1357,ＮＦ日経平均ダブルインバース,東ETF,"3,645","-114.0 (-3.03%) "
1358,上場日経レバレッジ指数,東ETF,"116,100","+3,550.0 (+3.15%) "
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,東G,"3,365","+85.0 (+2.59%) "
1360,日経平均ベア２倍上場投信,東ETF,"89.5","-2.7 (-2.93%) "
1364,ｉシェアーズ　ＪＰＸ日経４００,東ETF,"3,526","+27.0 (+0.77%) "
1365,ｉＦ日経平均レバレッジ,東ETF,"3,736","+103.0 (+2.84%) "
1366,ｉＦ日経平均ダブルインバース,東ETF,"91","-3.0 (-3.19%) "
1367,ｉＦＴＰＸレバレッジ（２倍）,東ETF,"2,615","+5.0 (+0.19%) "
